ano_inicio;n;perc;media_dias_ate_termo;mediana_dias_ate_termo;minimo_dias_ate_termo;maximo_dias_ate_termo;desvio_padrao_dias_ate_termo
2002;1;0,0434782608695652;7221,00000000000;7221,0;7221;7221;NA
2006;1;0,0434782608695652;831,00000000000;831,0;831;831;NA
2013;1;0,0434782608695652;1093,00000000000;1093,0;1093;1093;NA
2014;2;0,0869565217391304;1438,00000000000;1438,0;971;1905;660,4377336282354
2016;3;0,1304347826086956;1211,33333333333;1049,0;544;2041;761,5880338695805
2017;2;0,0869565217391304;1432,00000000000;1432,0;1417;1447;21,2132034355964
2018;4;0,1739130434782609;1267,50000000000;1208,5;938;1715;327,5917174370154
2019;2;0,0869565217391304;952,00000000000;952,0;942;962;14,1421356237310
2020;5;0,2173913043478261;855,60000000000;974,0;230;1404;437,6508882659785
2021;2;0,0869565217391304;1002,50000000000;1002,5;825;1180;251,0229073212244
