ano_inicio;n;perc;media_dias_ate_inicio_desde_contrato;mediana_dias_ate_inicio_desde_contrato;minimo_dias_ate_inicio_desde_contrato;maximo_dias_ate_inicio_desde_contrato;desvio_padrao_dias_ate_inicio_desde_contrato
2002;1;0,0222222222222222;483,00000000000;483,0;483;483;NA
2006;1;0,0222222222222222;1458,00000000000;1458,0;1458;1458;NA
2013;1;0,0222222222222222;1671,00000000000;1671,0;1671;1671;NA
2014;4;0,0888888888888889;4103,75000000000;4433,5;1815;5733;1694,432722181675
2016;2;0,0444444444444444;2129,50000000000;2129,5;1234;3025;1266,428245105107
2017;5;0,1111111111111111;3055,60000000000;3284,0;1448;3915;1022,195333583557
2018;6;0,1333333333333333;2153,83333333333;1657,0;1190;3753;1027,301789478957
2019;6;0,1333333333333333;3150,16666666667;2040,0;1532;7690;2340,945827366936
2020;6;0,1333333333333333;2688,66666666667;2422,5;2092;4323;821,904049549987
2021;11;0,2444444444444444;4880,90909090909;3223,0;1443;8535;2950,504175714566
2022;2;0,0444444444444444;6287,00000000000;6287,0;3758;8816;3576,546099241557
