ano_inicio;n;perc;media_dias_ate_problema_desde_contrato;mediana_dias_ate_problema_desde_contrato;minimo_dias_ate_problema_desde_contrato;maximo_dias_ate_problema_desde_contrato;desvio_padrao_dias_ate_problema_desde_contrato
2006;1;0,0227272727272727;1444,000000000000;1444,0;1444;1444;NA
2013;1;0,0227272727272727;1246,000000000000;1246,0;1246;1246;NA
2014;4;0,0909090909090909;3538,000000000000;3544,0;1402;5662;1747,344842897360
2016;2;0,0454545454545455;1584,500000000000;1584,5;216;2953;1935,351260107581
2017;5;0,1136363636363636;2418,400000000000;2392,0;1393;3781;882,156618747488
2018;6;0,1363636363636364;1518,500000000000;1204,5;570;3002;949,637562441588
2019;4;0,0909090909090909;2858,000000000000;1858,0;94;7622;3288,284760580608
2020;6;0,1363636363636364;2155,333333333333;1814,5;1188;4194;1059,946728221125
2021;10;0,2272727272727273;4107,300000000000;2624,5;24;8021;3328,394743215814
2022;2;0,0454545454545455;5919,000000000000;5919,0;3380;8458;3590,688234865288
N/D;3;0,0681818181818182;492,666666666667;720,0;38;720;393,752883587325
