id_documento,id_arbitragem,tipo_documento,modo_de_acesso,tamanho_documento,macro_tipo
1,38,alegacoes iniciais,Pedido de LAI,296,Alegações Iniciais
2,38,resposta as alegacoes iniciais,Pedido de LAI,354,Resposta a documento
3,38,replica,Pedido de LAI,146,Réplica
4,38,treplica,Pedido de LAI,76,Tréplica
5,38,sentenca homologatoria de acordo,Site,19,Sentença
6,39,alegacoes iniciais,Pedido de LAI,26,Alegações Iniciais
7,39,resposta as alegacoes iniciais,Pedido de LAI,55,Resposta a documento
8,39,treplica,Pedido de LAI,32,Tréplica
9,39,sentenca,Site,50,Sentença
10,40,alegacoes iniciais,Pedido de LAI,25,Alegações Iniciais
11,40,resposta as alegacoes iniciais,Pedido de LAI,63,Resposta a documento
12,40,treplica,Pedido de LAI,36,Tréplica
13,40,sentenca,Site,44,Sentença
14,41,alegacoes iniciais,Pedido de LAI,96,Alegações Iniciais
15,41,resposta as alegacoes iniciais (cptm),Pedido de LAI,50,Resposta a documento
16,41,resposta as alegacoes iniciais (estado),Pedido de LAI,71,Resposta a documento
17,41,replica,Pedido de LAI,89,Réplica
18,41,treplica (cptm),Pedido de LAI,26,Tréplica
19,41,treplica (estado),Pedido de LAI,20,Tréplica
20,41,sentenca,Site,145,Sentença
21,41,addendum a sentenca,Site,34,Sentença
22,42,alegacoes iniciais,Site,101,Alegações Iniciais
23,42,resposta as alegacoes iniciais,Site,150,Resposta a documento
24,42,replica,Site,88,Réplica
25,42,treplica,Site,126,Tréplica
26,42,alegacoes finais,Site,66,Alegações Finais
27,42,alegacoes finais requerente,Site,82,Alegações Finais
28,53,alegacoes iniciais requerido,Pedido de LAI,37,Alegações Iniciais
29,53,resposta as alegacoes iniciais,Pedido de LAI,44,Resposta a documento
30,53,replica,Pedido de LAI,52,Réplica
31,53,alegacoes finais requerido,Pedido de LAI,41,Alegações Finais
32,53,alegacoes finais requerente,Pedido de LAI,70,Alegações Finais
33,53,sentenca arbitral parcial,Pedido de LAI,156,Sentença
34,53,sentenca arbitral final,Pedido de LAI,24,Sentença
35,54,alegacoes iniciais,Pedido de LAI,82,Alegações Iniciais
36,54,resposta as alegacoes iniciais,Pedido de LAI,85,Resposta a documento
37,54,replica,Pedido de LAI,86,Réplica
38,54,treplica,Pedido de LAI,51,Tréplica
39,55,resposta as alegacoes iniciais,Pedido de LAI,62,Resposta a documento
40,55,sentenca homologatoria de acordo,Pedido de LAI,46,Sentença
41,56,alegacoes iniciais,Pedido de LAI,41,Alegações Iniciais
42,56,resposta as alegacoes iniciais,Pedido de LAI,20,Resposta a documento
43,56,replica,Pedido de LAI,45,Réplica
44,56,treplica,Pedido de LAI,20,Tréplica
45,56,alegacoes finais requerido,Pedido de LAI,31,Alegações Finais
46,56,alegacoes finais requerente,Pedido de LAI,60,Alegações Finais
47,56,sentenca arbitral,Pedido de LAI,91,Sentença
48,56,addendum a sentenca,Pedido de LAI,31,Sentença
49,43,alegacoes iniciais,Site,120,Alegações Iniciais
50,43,resposta as alegacoes iniciais,Site,143,Resposta a documento
51,43,replica,Site,99,Réplica
52,43,treplica,Site,114,Tréplica
53,43,alegacoes finais parciais requerente,Site,31,Alegações Finais
54,43,alegacoes finais parciais requerido,Site,35,Alegações Finais
55,43,sentenca arbitral parcial,Site,43,Sentença
56,44,alegacoes iniciais,Site,80,Alegações Iniciais
57,44,resposta as alegacoes iniciais,Site,145,Resposta a documento
58,44,replica,Site,141,Réplica
59,44,treplica,Site,180,Tréplica
60,45,alegacoes iniciais,Site,53,Alegações Iniciais
61,45,resposta as alegacoes iniciais,Site,43,Resposta a documento
62,45,replica,Site,60,Réplica
63,45,treplica,Site,14,Tréplica
64,47,alegacoes iniciais,Site,34,Alegações Iniciais
65,47,resposta as alegacoes iniciais e reconvencao,Site,36,Resposta a documento
66,47,replica e resposta a reconvencao,Site,22,Réplica
67,47,treplica e replica a resposta a reconvencao,Site,19,Tréplica
68,47,treplica a reconvencao,Site,4,Tréplica
69,47,sentenca arbitral parcial,Site,52,Sentença
70,47,sentenca homologatoria de acordo,Site,30,Sentença
71,47,addendum a sentenca,Site,18,Sentença
72,48,alegacoes iniciais cptm,Site,78,Alegações Iniciais
73,48,alegacoes iniciais requerente,Site,104,Alegações Iniciais
74,48,alegacoes iniciais esp,Site,50,Alegações Iniciais
75,48,resposta as alegacoes iniciais – cptm,Site,83,Resposta a documento
76,48,resposta as alegacoes iniciais – requerente,Site,111,Resposta a documento
77,48,resposta as alegacoes iniciais – esp,Site,53,Resposta a documento
78,48,replica – cptm,Site,60,Réplica
79,48,replica – requerente,Site,81,Réplica
80,48,replica – esp,Site,37,Réplica
81,48,treplica – cptm,Site,59,Tréplica
82,48,treplica – requerente,Site,78,Tréplica
83,48,treplica – esp,Site,32,Tréplica
84,48,alegacoes finais parciais – cptm,Site,47,Alegações Finais
85,48,alegacoes finais parciais – requerente,Site,71,Alegações Finais
86,48,alegacoes finais parciais – esp,Site,101,Alegações Finais
87,48,sentenca arbitral parcial,Site,188,Sentença
88,48,addendum a sentenca parcial,Site,51,Sentença
89,46,alegacoes iniciais,Site,51,Alegações Iniciais
90,46,resposta as alegacoes iniciais – cptm,Site,43,Resposta a documento
91,46,resposta as alegacoes iniciais – esp,Site,72,Resposta a documento
92,46,replica,Site,54,Réplica
93,46,treplica – cptm,Site,27,Tréplica
94,46,treplica – esp,Site,32,Tréplica
95,46,sentenca arbitral parcial,Site,167,Sentença
96,49,alegacoes iniciais,Pedido de LAI,16,Alegações Iniciais
97,49,resposta as alegacoes iniciais,Pedido de LAI,31,Resposta a documento
98,49,replica,Pedido de LAI,34,Réplica
99,49,treplica,Pedido de LAI,16,Tréplica
100,49,sentenca arbitral parcial,Pedido de LAI,26,Sentença
101,49,addendum a sentenca parcial,Pedido de LAI,12,Sentença
102,49,sentenca homologatoria de acordo,Site,27,Sentença
103,49,addendum a sentenca,Site,13,Sentença
104,50,alegacoes iniciais,Pedido de LAI,50,Alegações Iniciais
105,50,resposta as alegacoes iniciais – cptm,Pedido de LAI,48,Resposta a documento
106,50,resposta as alegacoes iniciais – esp,Pedido de LAI,18,Resposta a documento
107,50,replica,Pedido de LAI,63,Réplica
108,50,treplica – cptm,Pedido de LAI,38,Tréplica
109,50,treplica – esp,Pedido de LAI,54,Tréplica
110,50,sentenca arbitral,Site,156,Sentença
111,50,addendum a sentenca,Site,38,Sentença
112,51,sentenca arbitral homologatoria de desistencia,Site,26,Sentença
113,32,sentenca arbitral parcial,Site,132,Sentença
114,32,addendum a sentenca parcial,Site,44,Sentença
4.2,4,ordem procedimental,Site,9,Outros
8.10,8,ordem procedimental,Pedido de LAI,2,Outros
8.11,8,ordem procedimental,Pedido de LAI,2,Outros
8.12,8,ordem procedimental,Pedido de LAI,14,Outros
8.13,8,ordem procedimental,Pedido de LAI,3,Outros
8.14,8,ordem procedimental,Pedido de LAI,2,Outros
8.15,8,ordem procedimental,Pedido de LAI,3,Outros
8.16,8,ordem procedimental,Pedido de LAI,3,Outros
8.17,8,ordem procedimental,Pedido de LAI,2,Outros
8.18,8,ordem procedimental,Pedido de LAI,8,Outros
8.19,8,ordem procedimental,Pedido de LAI,6,Outros
9.13,9,ordem procedimental,Pedido de LAI,5,Outros
9.14,9,ordem procedimental,Pedido de LAI,3,Outros
9.15,9,ordem procedimental,Pedido de LAI,4,Outros
9.16,9,ordem procedimental,Pedido de LAI,5,Outros
9.17,9,ordem procedimental,Pedido de LAI,3,Outros
9.18,9,ordem procedimental,Pedido de LAI,4,Outros
9.19,9,ordem procedimental,Pedido de LAI,3,Outros
9.20,9,ordem procedimental,Pedido de LAI,2,Outros
9.21,9,ordem procedimental,Pedido de LAI,3,Outros
9.22,9,ordem procedimental,Pedido de LAI,2,Outros
10.9,10,ordem procedimental,Pedido de LAI,3,Outros
10.10,10,ordem procedimental,Pedido de LAI,4,Outros
10.11,10,ordem procedimental,Pedido de LAI,4,Outros
10.12,10,ordem procedimental,Pedido de LAI,2,Outros
10.13,10,ordem procedimental,Pedido de LAI,2,Outros
12.5,12,ordem procedimental,Pedido de LAI,2,Outros
12.6,12,ordem procedimental,Pedido de LAI,2,Outros
12.7,12,ordem procedimental,Pedido de LAI,5,Outros
12.8,12,ordem procedimental,Pedido de LAI,2,Outros
13.9,13,ordem procedimental,Pedido de LAI,5,Outros
13.10,13,ordem procedimental,Pedido de LAI,4,Outros
13.11,13,ordem procedimental,Pedido de LAI,3,Outros
13.12,13,ordem procedimental,Pedido de LAI,5,Outros
15.13,15,ordem procedimental,Pedido de LAI,3,Outros
15.14,15,ordem procedimental,Pedido de LAI,9,Outros
15.15,15,ordem procedimental,Pedido de LAI,1,Outros
15.16,15,ordem procedimental,Pedido de LAI,6,Outros
15.17,15,ordem procedimental,Pedido de LAI,6,Outros
15.18,15,ordem procedimental,Pedido de LAI,2,Outros
15.19,15,ordem procedimental,Pedido de LAI,2,Outros
15.20,15,ordem procedimental,Pedido de LAI,2,Outros
16.11,16,ordem procedimental,Pedido de LAI,2,Outros
16.12,16,ordem procedimental,Pedido de LAI,2,Outros
16.13,16,ordem procedimental,Pedido de LAI,2,Outros
16.14,16,ordem procedimental,Pedido de LAI,15,Outros
16.15,16,ordem procedimental,Pedido de LAI,2,Outros
16.16,16,ordem procedimental,Pedido de LAI,2,Outros
16.17,16,ordem procedimental,Pedido de LAI,2,Outros
16.18,16,ordem procedimental,Pedido de LAI,17,Outros
16.19,16,ordem procedimental,Pedido de LAI,2,Outros
16.20,16,ordem procedimental,Pedido de LAI,2,Outros
16.21,16,ordem procedimental,Pedido de LAI,2,Outros
16.22,16,ordem procedimental,Pedido de LAI,2,Outros
17.12,17,ordem procedimental,Pedido de LAI,2,Outros
17.14,17,ordem procedimental,Pedido de LAI,1,Outros
17.15,17,ordem procedimental,Pedido de LAI,4,Outros
17.16,17,ordem procedimental,Pedido de LAI,3,Outros
17.17,17,ordem procedimental,Pedido de LAI,3,Outros
17.18,17,ordem procedimental,Pedido de LAI,2,Outros
17.19,17,ordem procedimental,Pedido de LAI,11,Outros
17.20,17,ordem procedimental,Pedido de LAI,5,Outros
17.21,17,ordem procedimental,Pedido de LAI,2,Outros
17.22,17,ordem procedimental,Pedido de LAI,2,Outros
17.23,17,ordem procedimental,Pedido de LAI,1,Outros
17.24,17,ordem procedimental,Pedido de LAI,2,Outros
17.25,17,ordem procedimental,Pedido de LAI,1,Outros
17.26,17,ordem procedimental,Pedido de LAI,2,Outros
17.27,17,ordem procedimental,Pedido de LAI,2,Outros
